title,artist,top genre,year released,dur
  7/11,Beyoncé,dance pop,2014,214
I Don't Fuck With You,Big Sean,detroit hip hop,2015,284
Electric Love,BØRNS,modern rock,2015,218
Don't,Bryson Tiller,kentucky hip hop,2015,198
Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,227
How Deep Is Your Love,Calvin Harris,dance pop,2015,213
Ayo,Chris Brown,dance pop,2015,225
Cool for the Summer,Demi Lovato,dance pop,2015,215
Confident,Demi Lovato,dance pop,2015,206
Five More Hours,Deorro,dance pop,2017,212
Omen - Radio Edit,Disclosure,edm,2015,197
You Know You Like It,DJ Snake,dance pop,2014,247
Hotline Bling,Drake,canadian hip hop,2016,267
Jumpman,Drake,canadian hip hop,2015,206
Thinking out Loud,Ed Sheeran,pop,2014,282
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,253
On My Mind,Ellie Goulding,dance pop,2015,213
Centuries,Fall Out Boy,emo,2015,228
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2015,197
Trap Queen,Fetty Wap,new jersey rap,2015,222
My Way (feat. Monty),Fetty Wap,new jersey rap,2015,213
My House,Flo Rida,dance pop,2015,192
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,2015,190
Mountain at My Gates,Foals,indie rock,2015,244
Runaway (U & I),Galantis,dance pop,2015,227
Barcelona,George Ezra,folk-pop,2014,189
Love Myself,Hailee Steinfeld,dance pop,2016,219
Take Me to Church,Hozier,irish singer-songwriter,2014,242
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,250
oui,Jeremih,chicago rap,2015,238
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,226
What Do You Mean?,Justin Bieber,canadian pop,2015,206
Way down We Go,KALEO,icelandic indie,2016,214
King Kunta,Kendrick Lamar,conscious hip hop,2015,235
Stole the Show,Kygo,edm,2016,223
Nothing Left (feat. Will Heard),Kygo,edm,2015,237
High By The Beach,Lana Del Rey,art pop,2015,258
Hurt Me,Låpsley,electropop,2016,231
Closer,Lemaitre,alternative dance,2017,271
Lot to Learn,Luke Christopher,indie pop rap,2015,248
Lean On,Major Lazer,dance pop,2015,177
Light It Up - Remix,Major Lazer,dance pop,2015,166
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,270
Intoxicated - Radio Edit,Martin Solveig,dance pop,2015,160
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,224
Believe,Mumford & Sons,modern folk rock,2015,221
Somebody,Natalie La Rose,chicago rap,2014,190
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,pop rap,2015,186
Drive,Oh Wonder,electropop,2015,196
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,227
Drag Me Down,One Direction,boy band,2015,192
Perfect,One Direction,boy band,2015,230
Sunset Lover,Petit Biscuit,new french touch,2015,238
Wish You Were Mine - Radio Edit,Philip George,deep groove house,2014,178
Time of Our Lives,Pitbull,dance pop,2014,229
No Type,Rae Sremmurd,hip hop,2015,200
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,2015,177
FourFiveSeconds,Rihanna,barbadian pop,2015,188
Bitch Better Have My Money,Rihanna,barbadian pop,2015,219
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,177
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,219
Lay It All on Me (feat. Ed Sheeran),Rudimental,dance pop,2015,242
Like I Can,Sam Smith,dance pop,2014,167
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,199
Same Old Love,Selena Gomez,dance pop,2015,229
Hands To Myself,Selena Gomez,dance pop,2015,201
Good For You,Selena Gomez,dance pop,2015,222
Geronimo,Sheppard,australian indie,2015,218
Easy Love,Sigala,dance pop,2018,230
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,230
The Less I Know The Better,Tame Impala,australian psych,2015,216
Blank Space,Taylor Swift,pop,2014,232
Wildest Dreams,Taylor Swift,pop,2014,220
Bad Blood,Taylor Swift,pop,2015,200
Style,Taylor Swift,pop,2014,231
Spirits,The Strumbellas,canadian indie,2016,204
The Hills,The Weeknd,canadian contemporary r&b,2015,242
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,214
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2014,252
In The Night,The Weeknd,canadian contemporary r&b,2015,236
Die A Happy Man,Thomas Rhett,contemporary country,2015,227
Talking Body,Tove Lo,art pop,2014,238
Antidote,Travis Scott,hip hop,2015,263
Slow Motion,Trey Songz,dance pop,2015,198
Na Na,Trey Songz,dance pop,2015,232
YOUTH,Troye Sivan,australian pop,2015,185
Stressed Out,Twenty One Pilots,modern rock,2015,202
I Don't Mind (feat. Juicy J),Usher,atl hip hop,2014,252
Shut Up and Dance,WALK THE MOON,dance pop,2014,199
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,230
Renegades,X Ambassadors,modern alternative rock,2015,195
Unsteady,X Ambassadors,modern alternative rock,2015,194
King,Years & Years,dance pop,2015,215
I Want You To Know,Zedd,complextro,2015,240
When We Were Young,Adele,british soul,2015,291
Send My Love (To Your New Lover),Adele,british soul,2015,223
Hello,Adele,british soul,2015,296
Here,Alessia Cara,canadian contemporary r&b,2015,199
Alarm,Anne-Marie,dance pop,2016,206
Into You,Ariana Grande,dance pop,2016,244
Side To Side,Ariana Grande,dance pop,2016,226
Dangerous Woman,Ariana Grande,dance pop,2016,236
Hurts So Good,Astrid S,alt z,2021,209
Good Grief,Bastille,metropopolis,2016,206
Sorry,Beyoncé,dance pop,2016,233
Don't,Bryson Tiller,kentucky hip hop,2015,198
Exchange,Bryson Tiller,kentucky hip hop,2015,195
Dancing On My Own,Calum Scott,neo mellow,2018,260
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,2016,222
My Way,Calvin Harris,dance pop,2016,219
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,218
One Call Away,Charlie Puth,dance pop,2016,194
Dangerously,Charlie Puth,dance pop,2016,199
Sex,Cheat Codes,dance pop,2016,228
Back To Sleep,Chris Brown,dance pop,2015,201
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,2016,226
Hymn for the Weekend,Coldplay,permanent wave,2015,258
Adventure of a Lifetime,Coldplay,permanent wave,2015,264
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,2016,207
"Sit Still, Look Pretty",Daya,alt z,2016,202
Hide Away,Daya,alt z,2016,192
Let Me Love You,DJ Snake,dance pop,2016,206
Middle,DJ Snake,dance pop,2016,221
Cake By The Ocean,DNCE,dance pop,2016,219
Too Good,Drake,canadian hip hop,2016,263
Hotter Than Hell,Dua Lipa,dance pop,2017,188
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,2016,200
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,214
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,211
My House,Flo Rida,dance pop,2015,192
Say It (feat. Tove Lo),Flume,australian dance,2016,263
Pink + White,Frank Ocean,alternative r&b,2016,185
Low Life (feat. The Weeknd),Future,atl hip hop,2016,314
No Money,Galantis,dance pop,2016,189
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,2016,251
"Me, Myself & I",G-Eazy,indie pop rap,2015,251
Starving,Hailee Steinfeld,dance pop,2016,182
Can I Be Him,James Arthur,pop,2016,247
When You Love Someone,James TW,neo mellow,2019,217
Love Me Now,John Legend,neo soul,2016,210
Perfect Strangers,Jonas Blue,dance pop,2018,197
Fast Car,Jonas Blue,dance pop,2018,212
Love Yourself,Justin Bieber,canadian pop,2015,234
Sorry,Justin Bieber,canadian pop,2015,201
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,238
Gold,Kiiara,alt z,2020,226
Stole the Show,Kygo,edm,2016,223
Stay (feat. Maty Noyes),Kygo,edm,2015,239
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,243
Shout Out to My Ex,Little Mix,dance pop,2016,246
7 Years,Lukas Graham,danish pop,2016,237
Alaska,Maggie Rogers,indie pop,2019,188
Cold Water,Major Lazer,dance pop,2016,185
You & Me,Marc E. Bassy,pop,2017,218
Alone,Marshmello,brostep,2016,274
In the Name of Love,Martin Garrix,dance pop,2016,196
NO,Meghan Trainor,dance pop,2017,214
The Ocean (feat. Shy Martin),Mike Perry,dance pop,2016,183
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,198
Final Song,MØ,art pop,2016,236
This Town,Niall Horan,dance pop,2016,233
Close,Nick Jonas,dance pop,2016,234
History,Olivia Holt,alt z,2016,204
History,One Direction,boy band,2015,187
Wherever I Go,OneRepublic,dance pop,2016,170
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,215
Not Nice,PARTYNEXTDOOR,pop,2016,203
Needed Me,Rihanna,barbadian pop,2016,192
Work,Rihanna,barbadian pop,2016,219
Lost Boy,Ruth B.,alt z,2015,275
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2016,201
Same Old Love,Selena Gomez,dance pop,2015,229
Hands To Myself,Selena Gomez,dance pop,2015,201
Treat You Better,Shawn Mendes,canadian pop,2017,188
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,224
The Greatest (feat. Kendrick Lamar),Sia,australian dance,2016,210
Cheap Thrills (feat. Sean Paul),Sia,australian dance,2016,225
Sweet Lovin' - Radio Edit,Sigala,dance pop,2018,202
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,230
Just Hold On,Steve Aoki,dance pop,2018,199
Somebody Else,The 1975,modern alternative rock,2016,348
The Sound,The 1975,modern alternative rock,2016,249
Closer,The Chainsmokers,dance pop,2016,245
Don't Let Me Down,The Chainsmokers,dance pop,2016,208
Roses,The Chainsmokers,dance pop,2015,227
Ophelia,The Lumineers,folk-pop,2016,160
Starboy,The Weeknd,canadian contemporary r&b,2016,230
Once In a While,Timeflies,dance pop,2016,215
Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,2016,196
Cool Girl,Tove Lo,art pop,2016,199
Renegades,X Ambassadors,modern alternative rock,2015,195
Unsteady,X Ambassadors,modern alternative rock,2015,194
Never Forget You,Zara Larsson,dance pop,2017,213
PILLOWTALK,ZAYN,dance pop,2016,203
It's A Vibe,2 Chainz,atl hip hop,2017,210
Bank Account,21 Savage,atl hip hop,2017,220
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,melodic rap,2017,209
Plain Jane,A$AP Ferg,gangster rap,2017,174
Weak,AJR,modern rock,2017,201
Caroline,Aminé,hip hop,2017,210
More Than You Know,Axwell /\ Ingrosso,dance pop,2017,203
Rolex,Ayo & Teo,social media pop,2017,239
Bounce Back,Big Sean,detroit hip hop,2017,222
Man's Not Hot,Big Shaq,london rap,2017,186
Bored,Billie Eilish,art pop,2017,181
do re mi,blackbear,electropop,2017,212
That's What I Like,Bruno Mars,dance pop,2016,207
24K Magic,Bruno Mars,dance pop,2016,226
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,223
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,231
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,217
Bodak Yellow,Cardi B,dance pop,2018,224
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,223
Redbone,Childish Gambino,atl hip hop,2016,327
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,251
Sorry Not Sorry,Demi Lovato,dance pop,2017,204
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,289
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2017,205
Passionfruit,Drake,canadian hip hop,2017,299
Fake Love,Drake,canadian hip hop,2017,211
Perfect,Ed Sheeran,pop,2017,263
Shape of You,Ed Sheeran,pop,2017,234
Sit Next to Me,Foster The People,indietronica,2017,243
Unforgettable,French Montana,gangster rap,2017,234
Mask Off,Future,atl hip hop,2017,205
Him & I (with Halsey),G-Eazy,indie pop rap,2017,269
No Limit,G-Eazy,indie pop rap,2017,245
Most Girls,Hailee Steinfeld,dance pop,2017,204
Now Or Never,Halsey,dance pop,2017,215
NUMB,Hayden James,aussietronica,2019,217
Believer,Imagine Dragons,modern rock,2017,204
Thunder,Imagine Dragons,modern rock,2017,187
Whatever It Takes,Imagine Dragons,modern rock,2017,201
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,177
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,213
DNA.,Kendrick Lamar,conscious hip hop,2017,186
ELEMENT.,Kendrick Lamar,conscious hip hop,2017,209
Young Dumb & Broke,Khalid,pop,2017,203
Location,Khalid,pop,2017,219
Tunnel Vision,Kodak Black,florida rap,2017,268
iSpy (feat. Lil Yachty),KYLE,pop,2016,253
Lust For Life (with The Weeknd),Lana Del Rey,art pop,2017,264
Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,202
Save That Shit,Lil Peep,emo rap,2017,232
Gucci Gang,Lil Pump,emo rap,2017,124
XO Tour Llif3,Lil Uzi Vert,melodic rap,2017,183
Touch (feat. Kid Ink),Little Mix,dance pop,2016,203
1-800-273-8255,Logic,conscious hip hop,2017,250
Liability,Lorde,art pop,2017,172
Green Light,Lorde,art pop,2017,235
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,art pop,2017,214
broken,lovelytheband,indie poptimism,2018,205
Despacito,Luis Fonsi,latin,2019,229
Bad Things (with Camila Cabello),Machine Gun Kelly,ohio hip hop,2017,239
Glorious (feat. Skylar Grey),Macklemore,pop rap,2017,220
Cold (feat. Future),Maroon 5,pop,2018,234
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,2018,214
Little Dark Age,MGMT,alternative dance,2018,300
Bad and Boujee (feat. Lil Uzi Vert),Migos,atl hip hop,2017,343
Slippery (feat. Gucci Mane),Migos,atl hip hop,2017,304
T-Shirt,Migos,atl hip hop,2017,242
Sky Walker (feat. Travis Scott),Miguel,dance pop,2017,259
Malibu,Miley Cyrus,dance pop,2017,232
Nights With You,MØ,art pop,2017,197
Slow Hands,Niall Horan,dance pop,2017,188
Magnolia,Playboi Carti,atl hip hop,2017,182
Chameleon,PNAU,alternative dance,2017,198
Feel It Still,Portugal. The Man,indie rock,2017,163
Congratulations,Post Malone,dfw rap,2016,220
I Fall Apart,Post Malone,dfw rap,2016,223
Swang,Rae Sremmurd,hip hop,2016,208
Black Beatles,Rae Sremmurd,hip hop,2016,292
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,177
Losin Control,Russ,hawaiian hip hop,2017,238
Too Good At Goodbyes,Sam Smith,dance pop,2017,201
No Lie,Sean Paul,dance pop,2018,221
Fetish (feat. Gucci Mane),Selena Gomez,dance pop,2017,186
Broccoli,Shelley FKA DRAM,alternative r&b,2016,225
Don't Leave,Snakehips,edm,2017,215
Love Galore (feat. Travis Scott),SZA,pop,2017,275
Look What You Made Me Do,Taylor Swift,pop,2017,212
...Ready For It?,Taylor Swift,pop,2017,208
Something Just Like This,The Chainsmokers,dance pop,2017,247
Paris,The Chainsmokers,dance pop,2017,222
All Night,The Vamps,boy band,2017,198
Middle Of The Night,The Vamps,boy band,2017,175
I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,269
goosebumps,Travis Scott,hip hop,2016,244
BUTTERFLY EFFECT,Travis Scott,hip hop,2018,191
Jocelyn Flores,XXXTENTACION,emo rap,2017,119
Rake It Up (feat. Nicki Minaj),Yo Gotti,dirty south rap,2017,276
I Would Like,Zara Larsson,dance pop,2017,227
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016,144
Stay,Zedd,complextro,2017,210
Youngblood,5 Seconds of Summer,boy band,2018,203
FEFE,6ix9ine,emo rap,2018,179
GUMMO,6ix9ine,emo rap,2018,158
God is a woman,Ariana Grande,dance pop,2018,198
no tears left to cry,Ariana Grande,dance pop,2018,206
Jumanji,B Young,afroswing,2018,173
Answerphone (feat. Yxng Bane),Banx & Ranx,basshall,2018,191
Mine,Bazzi,dance pop,2018,131
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,174
lovely (with Khalid),Billie Eilish,art pop,2018,200
Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,2018,181
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,215
Never Be the Same,Camila Cabello,dance pop,2018,227
I Like It,Cardi B,dance pop,2018,253
Bodak Yellow,Cardi B,dance pop,2018,224
Be Careful,Cardi B,dance pop,2018,211
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,dance pop,2018,186
How Long,Charlie Puth,dance pop,2018,201
Done for Me (feat. Kehlani),Charlie Puth,dance pop,2018,180
The Way I Am,Charlie Puth,dance pop,2018,186
This Is America,Childish Gambino,atl hip hop,2018,226
Tequila,Dan + Shay,contemporary country,2018,197
Nevermind,Dennis Lloyd,israeli pop,2017,157
No Brainer,DJ Khaled,dance pop,2018,260
God's Plan,Drake,canadian hip hop,2018,199
Nonstop,Drake,canadian hip hop,2018,239
Nice For What,Drake,canadian hip hop,2018,211
In My Feelings,Drake,canadian hip hop,2018,218
I'm Upset,Drake,canadian hip hop,2018,214
IDGAF,Dua Lipa,dance pop,2017,218
In My Mind,Dynoro,edm,2018,185
Trip,Ella Mai,dance pop,2018,214
Boo'd Up,Ella Mai,dance pop,2017,256
River (feat. Ed Sheeran),Eminem,detroit hip hop,2017,221
German,EO,afroswing,2018,171
Let's Fall in Love for the Night,FINNEAS,alt z,2018,190
Simple,Florida Georgia Line,contemporary country,2019,185
Him & I (with Halsey),G-Eazy,indie pop rap,2017,269
Shotgun,George Ezra,folk-pop,2018,201
Paradise,George Ezra,folk-pop,2018,222
we fell in love in october,girl in red,bedroom pop,2018,184
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2017,175
Bad At Love,Halsey,dance pop,2017,181
The Greatest Show,Hugh Jackman,hollywood,2017,302
Natural,Imagine Dragons,modern rock,2018,189
Make Me Feel,Janelle Monáe,afrofuturism,2018,194
You Make It Easy,Jason Aldean,contemporary country,2018,197
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018,230
Rise,Jonas Blue,dance pop,2018,194
Lucid Dreams,Juice WRLD,chicago rap,2018,240
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,213
All The Stars (with SZA),Kendrick Lamar,conscious hip hop,2018,232
Love Lies (with Normani),Khalid,pop,2018,202
1950,King Princess,alt z,2018,225
I Like Me Better,Lauv,dance pop,2018,197
Yes Indeed,Lil Baby,atl hip hop,2018,142
Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018,217
Everyday,Logic,conscious hip hop,2018,205
Body,Loud Luxury,dance pop,2017,163
Bad Vibe,M.O,afroswing,2018,214
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,ohio hip hop,2017,203
Corazón (feat. Nego do Borel),Maluma,latin,2018,185
Wait,Maroon 5,pop,2018,191
Happier,Marshmello,brostep,2018,214
Silence,Marshmello,brostep,2017,181
FRIENDS,Marshmello,brostep,2018,203
Spotlight,Marshmello,brostep,2018,178
Walk It Talk It,Migos,atl hip hop,2018,276
MotorSport,Migos,atl hip hop,2018,303
Stir Fry,Migos,atl hip hop,2018,190
17,MK,dance pop,2017,196
Let You Down,NF,hip hop,2017,212
Te Boté - Remix,Nio Garcia,latin,2018,418
Ric Flair Drip (with Metro Boomin),Offset,atl hip hop,2017,173
Vaina Loca,Ozuna,latin,2018,176
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,colombian pop,2018,220
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,218
Better Now,Post Malone,dfw rap,2018,231
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,221
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,hip hop,2018,332
Plug Walk,Rich The Kid,atl hip hop,2018,175
Mo Bamba,Sheck Wes,rap,2018,184
Strangers,Sigrid,dance pop,2019,234
Delicate,Taylor Swift,pop,2017,232
It's Not Living (If It's Not With You),The 1975,modern alternative rock,2018,248
This Feeling,The Chainsmokers,dance pop,2018,198
Sick Boy,The Chainsmokers,dance pop,2018,193
Call Out My Name,The Weeknd,canadian contemporary r&b,2018,228
Pray For Me (with Kendrick Lamar),The Weeknd,canadian contemporary r&b,2018,211
Jackie Chan,Tiësto,big room,2018,216
SICKO MODE,Travis Scott,hip hop,2018,313
Taste (feat. Offset),Tyga,dance pop,2018,233
Saturday Sun,Vance Joy,folk-pop,2018,215
SAD!,XXXTENTACION,emo rap,2018,167
Moonlight,XXXTENTACION,emo rap,2018,135
changes,XXXTENTACION,emo rap,2018,122
If You're Over Me,Years & Years,dance pop,2018,189
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,cali rap,2018,237
The Middle,Zedd,complextro,2018,185
a lot,21 Savage,atl hip hop,2018,289
Easier,5 Seconds of Summer,boy band,2020,158
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,melodic rap,2018,189
Look Back at It,A Boogie Wit da Hoodie,melodic rap,2018,179
Ladbroke Grove,AJ Tracey,grime,2019,191
China,Anuel AA,latin,2019,302
Secreto,Anuel AA,latin,2019,259
7 rings,Ariana Grande,dance pop,2019,179
"thank u, next",Ariana Grande,dance pop,2019,207
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,190
boyfriend (with Social House),Ariana Grande,dance pop,2019,186
On A Roll,Ashley O,pop,2019,154
Callaita,Bad Bunny,latin,2019,251
MIA (feat. Drake),Bad Bunny,latin,2018,210
lovely (with Khalid),Billie Eilish,art pop,2018,200
bad guy,Billie Eilish,art pop,2019,194
when the party's over,Billie Eilish,art pop,2019,196
bury a friend,Billie Eilish,art pop,2019,193
Kill This Love,BLACKPINK,k-pop,2019,191
The Git Up,Blanco Brown,black americana,2019,201
Thotiana,Blueface,cali rap,2018,129
Boy With Luv (feat. Halsey),BTS,k-pop,2019,230
Please Me,Cardi B,dance pop,2019,201
Money,Cardi B,dance pop,2018,184
Suge,DaBaby,north carolina hip hop,2019,163
Location (feat. Burna Boy),Dave,uk hip hop,2019,241
Juicy,Doja Cat,dance pop,2019,202
3 Nights,Dominic Fike,alternative pop rock,2018,178
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019,205
Don't Start Now,Dua Lipa,dance pop,2019,183
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,2019,190
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,206
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,162
Leave Me Alone,Flipp Dinero,melodic rap,2019,196
Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,2019,202
Without Me,Halsey,dance pop,2018,202
emotions,iann dior,melodic rap,2019,131
gone girl,iann dior,melodic rap,2019,137
MIDDLE CHILD,J. Cole,conscious hip hop,2019,214
All Day And Night,Jax Jones,dance pop,2019,169
Sorry,Joel Corry,dance pop,2019,189
Sucker,Jonas Brothers,boy band,2019,181
Only Human,Jonas Brothers,boy band,2019,183
Robbery,Juice WRLD,chicago rap,2019,240
Good as You,Kane Brown,black americana,2019,192
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,2019,202
Better,Khalid,pop,2018,229
Talk (feat. Disclosure),Khalid,pop,2019,198
ZEZE (feat. Travis Scott & Offset),Kodak Black,florida rap,2018,229
Shallow,Lady Gaga,art pop,2018,216
Doin' Time,Lana Del Rey,art pop,2019,202
i'm so tired...,Lauv,dance pop,2020,163
Someone You Loved,Lewis Capaldi,pop,2019,182
Grace,Lewis Capaldi,pop,2019,186
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,157
Old Town Road,Lil Nas X,lgbtq+ hip hop,2019,113
Panini,Lil Nas X,lgbtq+ hip hop,2019,115
Ransom,Lil Tecca,melodic rap,2019,131
Truth Hurts,Lizzo,dance pop,2019,173
Good as Hell,Lizzo,dance pop,2019,160
Soltera - Remix,Lunay,latin,2019,266
Light On,Maggie Rogers,indie pop,2019,234
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,217
Here With Me,Marshmello,brostep,2019,156
One Thing Right,Marshmello,brostep,2019,182
Piece Of Your Heart,MEDUZA,edm,2019,153
Going Bad (feat. Drake),Meek Mill,hip hop,2018,181
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,dance pop,2019,199
Slide Away,Miley Cyrus,dance pop,2019,234
Pure Water (with Migos),Mustard,cali rap,2019,192
Shotta Flow (feat. Blueface) [Remix],NLE Choppa,memphis hip hop,2019,177
Motivation,Normani,dance pop,2019,194
Options,NSG,afro dancehall,2020,240
Clout (feat. Cardi B),Offset,atl hip hop,2019,206
High Hopes,Panic! At The Disco,modern rock,2018,191
Adan y Eva,Paulo Londra,argentine hip hop,2019,257
Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,167
Circles,Post Malone,dfw rap,2019,215
Better Now,Post Malone,dfw rap,2018,231
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,158
Wow.,Post Malone,dfw rap,2019,150
Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,175
Ride It,Regard,dance pop,2019,158
Keisha & Becky - Remix,Russ Millions,uk drill,2019,253
Post Malone (feat. RANI),Sam Feldt,dance pop,2019,174
My Type,Saweetie,cali rap,2019,126
Otro Trago,Sech,latin,2019,226
Señorita,Shawn Mendes,canadian pop,2019,191
If I Can't Have You,Shawn Mendes,canadian pop,2019,191
Don’t Feel Like Crying,Sigrid,dance pop,2019,157
Vossi Bop,Stormzy,grime,2019,196
Lover,Taylor Swift,pop,2019,221
Cruel Summer,Taylor Swift,pop,2019,178
You Need To Calm Down,Taylor Swift,pop,2019,171
SICKO MODE,Travis Scott,hip hop,2018,313
EARFQUAKE,"Tyler, The Creator",hip hop,2019,190
Boasty (feat. Idris Elba),Wiley,grime,2019,177
Strike a Pose (feat. Aitch),Young T & Bugsey,afroswing,2019,214
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,200
